DateTime,Btu,kWh
1/1/13 0:15,49664,19.69
1/1/13 0:30,90112,20.84
1/1/13 0:45,19968,17.42
1/1/13 1:00,50176,19.59
1/1/13 1:15,99840,20.46
1/1/13 1:30,19968,17.97
1/1/13 1:45,30208,18.59
1/1/13 2:00,59904,20.37
1/1/13 2:15,90112,19.09
1/1/13 2:30,19968,18.05
1/1/13 2:45,49664,20.23
1/1/13 3:00,100352,20.5
1/1/13 3:15,29696,18.35
1/1/13 3:30,19968,18.15
1/1/13 3:45,130048,22.14
1/1/13 4:00,19968,18.63
1/1/13 4:15,30208,19.99
1/1/13 4:30,110080,21.51
1/1/13 4:45,39936,18.88
1/1/13 5:00,19968,18.59
1/1/13 5:15,30208,20.07
1/1/13 5:30,139776,22.18
1/1/13 5:45,39936,18.48
1/1/13 6:00,59904,21.21
1/1/13 6:15,90112,21.07
1/1/13 6:30,70144,20.42
1/1/13 6:45,29696,19.42
1/1/13 7:00,120320,24.13
1/1/13 7:15,59904,20.19
1/1/13 7:30,90112,21.99
1/1/13 7:45,59904,22.64
1/1/13 8:00,90112,18.83
1/1/13 8:15,39936,19.71
1/1/13 8:30,70144,21.62
1/1/13 8:45,59904,18.85
1/1/13 9:00,49664,17.45
1/1/13 9:15,60416,20.51
1/1/13 9:30,89600,19.52
1/1/13 9:45,19968,17.18
1/1/13 10:00,50176,19.78
1/1/13 10:15,130048,20.44
1/1/13 10:30,30208,17.98
1/1/13 10:45,19968,18.9
1/1/13 11:00,139776,21.05
1/1/13 11:15,50176,17.86
1/1/13 11:30,39936,18.93
1/1/13 11:45,79872,20.18
1/1/13 12:00,30208,17.94
1/1/13 12:15,59904,18.79
1/1/13 12:30,99840,20.52
1/1/13 12:45,70144,19.03
1/1/13 13:00,30208,18.09
1/1/13 13:15,99840,20.19
1/1/13 13:30,50176,18.92
1/1/13 13:45,49664,18.4
1/1/13 14:00,59904,20.93
1/1/13 14:15,100352,19.45
1/1/13 14:30,29696,17.1
1/1/13 14:45,50176,19.96
1/1/13 15:00,119808,20.08
1/1/13 15:15,30208,17.69
1/1/13 15:30,30208,18.64
1/1/13 15:45,129536,20.36
1/1/13 16:00,40448,18.12
1/1/13 16:15,39936,17.48
1/1/13 16:30,69632,20.82
1/1/13 16:45,90112,18.54
1/1/13 17:00,19968,19.84
1/1/13 17:15,130048,23.37
1/1/13 17:30,50176,21.29
1/1/13 17:45,59904,19.18
1/1/13 18:00,70144,22.52
1/1/13 18:15,59904,21
1/1/13 18:30,39936,18.38
1/1/13 18:45,59904,19.45
1/1/13 19:00,70144,20.96
1/1/13 19:15,59904,19.18
1/1/13 19:30,30208,18.05
1/1/13 19:45,119808,21.83
